name	date	rate	text	helpful
Shambhavi Asmit	2021-07-09	2	Zoom was working just fine till last month but recently, I have not been able to connect to any meetings, it is rare for me now to attend a meeting smoothly without getting disconnected or even getting connected in the first place, also, the problems with the audio and screen share are also very concerning, the app keeps glitching all the time, and to add to all of this haphazard, zoom is not letting me sign in or sign up, it is saying that I'm not eligible, overall, it's been a mess, improve.	990
Banisha Nandy	2021-07-09	2	This app was very good at initial time. But this is now going very problematic. Sometimes it stops working nd I have to left the meeting. Instead of giving I'd password nd getting approved by the host, it is impossible to connect to the meeting. I feel disgusted and problematic for that. So, sort out the problem as soon as possible. Thank you	824
saakshi arts music	2021-07-09	1	"This app isn't working well. It always shows ""Connecting"" when I try to connect to my classes. And after a few moments I get a dialog box displaying -""Cannot connect to our service , please check your network connection and try again."" And some error code .. Although I have set up the best network , this app doesn't respond well. I'm missing all my imp.classes due to this issue. One of the worst app I'm using.."	1068
Teaching Fanatic	2021-07-09	5	Hi, zoom. Nowadays, I got a problem. When I am entering into a particular teacher's class who gives the same link by altering the date and class and section, I can't join. Some of my friends too experienced it. But others can see the class. I don't know why it happens to me and my colleagues. Please help me and my friends. Please fix any problem in app or give some tips to join class. Otherwise, your app is playing a vital role in our life. Thank you, Zoom. Please fix my problem.	75
Sapna kumari	2021-07-09	1	Zoom is the worst meeting app I have ever seen. It has many issues and errors of network, connection problem,etc. I am not able to do online classes also properly in this app due to corona. The creators are not solving this problem also. If it had 0 stars, then I would give that but it's not there so I have given 1 star. Plz solve this issue as soon as possible.	37
Jaspinder Brar	2021-07-08	5	The app is really good but now a days I am facing connecting issues whenever I try to join a meeting it only shows connecting. Some of my friends are also facing the same situation. So it is not because of network problems because other apps are working properly. I am a student and I have to join lectures on daily basis. So I hope you will look into the matter try to fix it.	444
Vinti Singla	2021-07-08	1	Yes this app is good and easy to operate. I,m using this app from last year, and It's work is nice, but from last two days, it showing report problem. it show connecting but don't connect. I'm telling to my teacher that her is some network issue, but how many days will I told them. they will definitely scold me. And Its very difficult for me to skip the classes. And its same in my another phone. So plz zoom solve this problem.	144
Joydeep Chowdhury	2021-07-09	1	"I donot understand why it takes so much time to even connect to a meeting.While joining a meeting,it always shows ""Connecting"" and after waiting for sometime a message pops up on the screen stating ""Error"".This has been happening with me since a very long time and because of this issue it has became difficult to even join a meeting.I couldnot been able to join meetings due to this irritating issue. 📝Fix this issue as soon as possible."	31
Fahmidul Alam Khan	2021-07-08	3	Before the last update of 28 June 2021, it was a good app. But, after updating the app, I've found various types of problems in this app, such as : 1. Connection problem. 2. Network problem. 3. Sound has been lower than before. 4. In the meeting corner, the speakers' photo has been larger than before, for which the part of meeting slides are Covered by the picture. 5. Response emojis are disappeared. Please, fix these problems as soon as possible.	1910
Aditya Kumar	2021-07-09	1	Worst app ever. The app does not meet the quality to become a good app. The demand is higher for its features like Virtual Background , but they don't see the quality of their app, from past few days a new problem has occurred in which while connecting to meetings , it shows error code 104103, and tells to check the internet connection, which is more than 4-5Mbps. Instead of blaming their app, they r blaming people's connection. Brilliant! Hats off to you Zoom Team! Continue This Good Work!👏👌	16
Kintada Jayeeshnuvu	2021-07-08	3	Very bad connections with the meeting. Cannot enter the meeting in time. Always shows loading icon and connecting icon when a meeting is entering but cannot enter the meeting. After sometime its shows that there is no proper internet connection to us even there is stable internet connection. At last , have to improve the app very much. Thank you.	74
Sah r.k	2021-07-08	2	It is a good app but nowadays it is not working properly .At first , when I started to use this app, my classes were running without any issues but nowadays I am facing some issues and not able to join my classes . The app is just showing ''can't connect to our service please check your internet connection'' and there is some error code .I didn't know what this problem occurs for but Please solve out this problem .	93
Ram Kumar	2021-07-08	1	It is a good app. While my online classes is going on zoom . It was good previous but after an update .. I don't know that why it is happen . I have a good connection of network while it is going superb but zoom is not connect the meeting ID from my phone .. I report it too many times but there is no change . Plzz do something .... Then I will give you 5 stars ...	74
Hemlata Singh	2021-07-08	1	"Starting I enjoyed a very good experience with zoom.. but now it is not working properly.. it is showing "" can't connect to our service, please check your network connection.. and try again error code 104 103 and sometimes error code 104101"". Even though all other apps are working properly with my net.. it is showing to check network.. Please fix this problem soon.. we are missing our classes.. please.."	83
Harshit Verma	2021-07-08	1	Zoom used to work fine. But from July 08, when I try to connect to a meeting, it is stuck at connecting.. and it gives an error 104103 or 104101. I tried using every device I had Android Tablet, Android phone, Windows Laptop but in vain. All I get is the same error. I have a stable 30 mbps wifi connection. Please fix this bug fast.	8
Rohini Patil	2021-07-09	1	It's the worst app ever. I am using zoom cloud meetings from two years but from the last update it is telling that no network although my network is well. I request to the creators that please fix this problem as soon as possible because we are facing a lot of problems in doing our meetings of schools and offices. Please do something.	9
INTAKHAB ALAM	2021-07-09	1	The Worst meeting app ever used.Very Very BAD 👎 experience. A lot of network issue. We are unable to join,it just showing connecting,and at last unable to join please check your network connection, But my network is fine,checking after that,network is very nice. And also can't able to listen what anyone is saying when out of the meeting. Before the new update it had been a nice experience but now I am unable to join only.The older version was the best then ever &ever.I wish I could give 0 star.	13
Kenzie Hunter	2021-07-08	1	I hate this app. Every time I was on call with some my doctor's it was a glitches I was unable to hear what they were saying. But it was other time I was not able to log in and I missed my appointment. The only advice I can give people is don't lay on this app for you life. This app is completely dysfunctional.	48
Pragya Mishra	2021-07-09	1	It has one worst thing that it does not give you the option of changing or edit your profile after first time but before update we was able to change our profile as many time as we want. You should give virtual background in mobile phones too. And one more thing before the last update zoom was better But now after update u made it worst app ever. These are two worst thing I have ever experienced in this app.	5
Anish Raj	2021-07-09	2	Dear Sir/Ma'am, I can't connect to the zoom meeting. It is showing error and keeps closing. It is happening from 2-3 days. Before that it was working properly. By the way, I don't know it is happening only with me or my other classmates. I am a student and I have to study through this zoom meeting app. So, I request you to fix the problem so that I can use it without any problems.	7
Angela Treasure	2021-07-05	5	Zoom is a blessing, its not perfect, nothing in this world is perfect, God bless the person or persons who invented this app, keep up the good work, there are some kinks that needs to be straightened out, sometimes voice or picture quality could be better. Picture and voice quality much improved, again, thanks for your service. Voice and picture quality continue to Improve, Thanks	1646
Jyoti Bala	2021-07-08	3	I really like this app, and helps a lot in this paendemic. But there is an issue with the desktop (Windows 10) application. The version has an issue that is it do not show the place where all participants are shown if the main speaker in the meeting at the particular time turned his video off. Is it just me or zoom is not working for everyone today?	1010
